Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,playerid
Corbin Burnes,MIL,37.80%,65.50%,48.50%,48.90%,81.10%,65.80%,38.90%,62.40%,0.17,17.20%,33.80%,19361
Tyler Anderson,- - -,37.20%,74.20%,53.70%,71.50%,82.90%,78.50%,44.50%,68.70%,0.12,15.20%,26.70%,12880
Sandy Alcantara,MIA,36.70%,72.70%,52.90%,59.40%,84.30%,74.80%,45.10%,64.00%,0.13,14.60%,27.90%,18684
Frankie Montas,OAK,35.90%,70.90%,50.20%,58.40%,83.10%,72.70%,40.90%,65.20%,0.14,15.50%,29.20%,14309
Julio Urias,LAD,35.90%,67.30%,50.80%,66.00%,84.90%,77.90%,47.40%,70.70%,0.11,18.60%,29.80%,14765
Kyle Hendricks,CHC,35.60%,66.80%,48.50%,73.50%,87.90%,81.60%,41.30%,67.80%,0.09,18.60%,27.50%,12049
Kevin Gausman,SFG,35.60%,72.30%,52.10%,53.20%,81.20%,70.70%,45.00%,63.50%,0.15,15.70%,31.00%,14107
Gerrit Cole,NYY,35.40%,67.60%,48.90%,57.40%,79.60%,70.30%,41.90%,66.80%,0.15,17.60%,32.10%,13125
Zack Wheeler,PHI,35.20%,72.00%,51.40%,64.80%,82.90%,76.00%,43.90%,66.80%,0.12,15.60%,28.00%,10310
Hyun-Jin Ryu,TOR,35.10%,64.70%,47.30%,71.90%,85.50%,79.50%,41.10%,63.90%,0.10,18.80%,28.50%,14444
Brandon Woodruff,MIL,34.80%,69.60%,50.70%,64.10%,80.80%,74.60%,45.60%,66.00%,0.13,17.20%,30.00%,16162
Cole Irvin,OAK,34.80%,73.00%,51.60%,76.60%,86.30%,82.70%,44.10%,65.20%,0.09,15.80%,24.80%,19244
Wade Miley,CIN,34.80%,69.10%,46.80%,72.30%,84.30%,78.50%,35.20%,57.80%,0.10,15.30%,25.40%,8779
Patrick Corbin,WSN,34.40%,67.70%,47.50%,59.80%,89.50%,76.40%,39.30%,66.00%,0.11,15.30%,26.50%,9323
Marcus Stroman,NYM,34.40%,67.60%,48.30%,60.30%,87.00%,75.90%,41.80%,62.10%,0.12,16.80%,28.50%,13431
Aaron Nola,PHI,34.10%,68.10%,48.80%,61.60%,81.80%,73.80%,43.20%,66.60%,0.13,18.40%,31.20%,16149
Robbie Ray,TOR,34.10%,74.50%,51.80%,51.70%,80.80%,70.00%,43.80%,61.60%,0.16,14.10%,29.60%,11486
Jose Berrios,- - -,34.00%,64.70%,46.80%,69.20%,86.10%,78.90%,41.70%,64.50%,0.10,19.20%,29.00%,14168
Joe Musgrove,SDP,34.00%,63.00%,46.40%,55.80%,84.80%,72.60%,42.70%,60.80%,0.13,18.80%,31.40%,12970
Luis Castillo,CIN,33.90%,71.80%,48.90%,60.60%,82.20%,73.20%,39.60%,59.50%,0.13,14.50%,27.60%,15689
